cts,date,Accelerometer [m/s2],acc1,acc2,temperature [°C]
79637.58697487488,2024-03-16T10:11:11.747Z,8.256594724220623,-2.13189448441247,5.026378896882494,19.546875
79642.61365829197,2024-03-16T10:11:11.752Z,8.05515587529976,-2.2805755395683454,4.899280575539568,19.546875
79647.64034170906,2024-03-16T10:11:11.757Z,7.851318944844125,-2.5731414868105515,4.7601918465227815,19.546875
79652.66702512615,2024-03-16T10:11:11.762Z,7.539568345323741,-2.6522781774580335,4.541966426858513,19.546875
79657.69370854324,2024-03-16T10:11:11.767Z,7.3117505995203835,-2.8776978417266186,4.2829736211031175,19.546875
79662.72039196033,2024-03-16T10:11:11.772Z,7.203836930455635,-3.1127098321342928,4.03357314148681,19.546875
79667.74707537743,2024-03-16T10:11:11.777Z,7.270983213429257,-3.4412470023980815,3.8752997601918464,19.546875
79672.77375879452,2024-03-16T10:11:11.782Z,7.330935251798561,-3.7961630695443644,3.642685851318945,19.546875
79677.8004422116,2024-03-16T10:11:11.787Z,7.3261390887290165,-4.146282973621103,3.4796163069544366,19.546875
79682.8271256287,2024-03-16T10:11:11.792Z,7.304556354916067,-4.39568345323741,3.2541966426858515,19.546875
79687.85380904579,2024-03-16T10:11:11.797Z,7.256594724220624,-4.568345323741007,2.9928057553956835,19.546875
79692.88049246288,2024-03-16T10:11:11.802Z,6.913669064748201,-4.707434052757794,2.633093525179856,19.546875
79697.90717587997,2024-03-16T10:11:11.807Z,6.335731414868105,-4.724220623501199,2.290167865707434,19.546875
79702.93385929706,2024-03-16T10:11:11.812Z,5.800959232613909,-4.630695443645084,2.035971223021583,19.546875
79707.96054271415,2024-03-16T10:11:11.817Z,5.474820143884892,-4.4268585131894485,1.6426858513189448,19.546875
79712.98722613124,2024-03-16T10:11:11.822Z,5.695443645083933,-4.175059952038369,1.2877697841726619,19.546875
79718.01390954833,2024-03-16T10:11:11.827Z,6.235011990407674,-3.8992805755395685,1.0599520383693046,19.546875
79723.04059296542,2024-03-16T10:11:11.832Z,6.913669064748201,-3.6043165467625897,0.9640287769784173,19.546875
79728.06727638251,2024-03-16T10:11:11.837Z,7.517985611510792,-3.2446043165467624,1.014388489208633,19.546875
79733.0939597996,2024-03-16T10:11:11.842Z,7.7314148681055155,-2.8345323741007196,1.1942446043165467,19.546875
79738.1206432167,2024-03-16T10:11:11.847Z,7.5299760191846525,-2.34052757793765,1.5971223021582734,19.546875
79743.14732663379,2024-03-16T10:11:11.852Z,7.143884892086331,-1.774580335731415,1.8920863309352518,19.546875
